Дата_внесения,Задача,Статус,Обработано
2026-06-21,унести столбы С разрывателя в клевую кухню,Новая,Да
2026-06-21,"узнать у Лавриненко про нулевую энергию, нет ключей 19.06.",Новая,Да
2026-06-21,написать журнал ГТО лучше цеховые отремонтировать стулья в столовой,Новая,Да
2026-06-21,заполнить ППР на пресс отходов в понедельник,Новая,Да
2026-06-21,заплатить Сёмушкин за обучение точечного,Новая,Да
2026-06-18,"По Забродину В.А. непонятно — работал по 19.06, ушёл, возможно придет в июле (б/с даты). Необходимо уточнение",Новая,Да
2026-06-18,объяснительные по инциденту на тул 20/21.06.,Новая,Да
2026-06-18,"Вестеров — проговорить, не ставит желтые этикетки на коробление",Новая,Да
2026-06-18,Шубины снова отвлекаются,Новая,Да
2026-06-18,заказать шестигранники номер шесть Г-образный,Новая,Да
2026-06-18,не убран вал в зоне грузовых ворот,Новая,Да
2026-06-18,посчитать Экосервис 23-го числа,Новая,Да
2026-06-18,Счёт карты ECMC2170 11:12 Покупка 449р YANDEX*PLUS,Новая,Да
2026-06-18,"25.06. Нет учетчика, сделать отчет с ночной смены 24/24.06.",Новая,Да
2026-06-18,заказать швабры и черенки,Новая,Да
2026-06-18,"сделать запись в ЖТСО не работает маячок при выходе с тоннеля безопасности в районе ГА, MF-1",Новая,Да
2026-06-18,"выбрать на июль какая линия будет стоять 618, 924, Бобст?",Новая,Да
